symbol,value
›,0
‚,1
›,2
—,3
•,4
”,5
’,6
˜,7
˜,8
™,9
”,10
ƒ,11
‹,12
—,13
ž,14
†,15
Œ,16
š,17
•,18
‚,19
‰,20
Œ,21
™,22
—,23
ž,24
‡,25
Ž,26
…,27
–,28
…,29
‹,30
˜,31
†,32
ž,33
Ž,34
Œ,35
‰,36
’,37
‡,38
ˆ,39
ƒ,40
›,41
…,42
€,43
”,44
—,45
“,46
Š,47
“,48
ƒ,49
„,50
—,51
‡,52
‚,53
€,54
’,55
œ,56
‰,57
–,58
ƒ,59
Š,60
—,61
Ž,62
€,63
Š,64
€,65
Ž,66
—,67
Ÿ,68
ž,69
“,70
‘,71
†,72
”,73
“,74
…,75
ƒ,76
’,77
ˆ,78
Œ,79
Œ,80
„,81
‘,82
—,83
“,84
Ž,85
˜,86
™,87
œ,88
”,89
‹,90
„,91
ˆ,92
ž,93
˜,94
€,95
ž,96
ˆ,97
“,98
—,99
„,100
ˆ,101
ˆ,102
†,103
˜,104
‰,105
‘,106
‰,107
…,108
’,109
•,110
Ž,111
ƒ,112
”,113
‚,114
‹,115
‹,116
™,117
“,118
˜,119
—,120
‘,121
‚,122
œ,123
“,124
‚,125
˜,126
—,127
Ž,128
œ,129
‹,130
†,131
“,132
š,133
•,134
‡,135
ˆ,136
–,137
ž,138
š,139
—,140
‘,141
›,142
”,143
›,144
‚,145
‚,146
Ÿ,147
ƒ,148
š,149
†,150
…,151
š,152
•,153
ƒ,154
‹,155
Ÿ,156
‚,157
š,158
‘,159
‰,160
‚,161
ƒ,162
”,163
˜,164
ž,165
œ,166
‰,167
‹,168
–,169
†,170
„,171
˜,172
‚,173
‡,174
—,175
Ž,176
Œ,177
’,178
Š,179
„,180
–,181
›,182
Ÿ,183
‚,184
œ,185
”,186
˜,187
‚,188
œ,189
•,190
œ,191
‹,192
‹,193
š,194
š,195
„,196
„,197
š,198
†,199
Š,200
ž,201
Š,202
‡,203
ˆ,204
‡,205
”,206
‡,207
‰,208
”,209
Š,210
ˆ,211
–,212
•,213
˜,214
˜,215
š,216
—,217
›,218
‡,219
•,220
‡,221
„,222
–,223
–,224
†,225
ƒ,226
€,227
†,228
ˆ,229
Š,230
‡,231
›,232
†,233
‡,234
ž,235
„,236
ƒ,237
œ,238
˜,239
“,240
™,241
•,242
•,243
Š,244
‡,245
š,246
Š,247
‘,248
‡,249
†,250
‹,251
š,252
ˆ,253
‘,254
‚,255
–,256
‚,257
ˆ,258
Ÿ,259
ž,260
€,261
Ž,262
š,263
˜,264
Œ,265
‰,266
™,267
Œ,268
‘,269
˜,270
ˆ,271
œ,272
Š,273
˜,274
•,275
œ,276
“,277
ˆ,278
„,279
„,280
„,281
•,282
…,283
ž,284
”,285
’,286
‚,287
‘,288
š,289
š,290
„,291
–,292
„,293
—,294
”,295
†,296
ž,297
‹,298
”,299
™,300
‚,301
…,302
“,303
—,304
›,305
†,306
‹,307
“,308
Ž,309
‚,310
Œ,311
Ž,312
’,313
Ÿ,314
€,315
Ž,316
Ÿ,317
“,318
”,319
Ÿ,320
Š,321
•,322
€,323
“,324
†,325
Ÿ,326
ƒ,327
š,328
Ÿ,329
ž,330
Œ,331
œ,332
ˆ,333
‰,334
„,335
€,336
Ž,337
š,338
–,339
š,340
ž,341
Ž,342
Š,343
ƒ,344
Œ,345
”,346
€,347
‰,348
ƒ,349
„,350
‰,351
“,352
‚,353
ˆ,354
„,355
„,356
Š,357
‘,358
–,359
‹,360
—,361
—,362
ƒ,363
›,364
‡,365
ˆ,366
•,367
’,368
‰,369
•,370
™,371
—,372
…,373
œ,374
™,375
Ÿ,376
ˆ,377
†,378
Ž,379
—,380
†,381
ˆ,382
ˆ,383
‘,384
‰,385
‚,386
’,387
™,388
‚,389
Ž,390
‚,391
ž,392
”,393
„,394
—,395
†,396
•,397
€,398
‡,399
‰,400
œ,401
‘,402
—,403
”,404
ˆ,405
›,406
™,407
‡,408
–,409
‚,410
‰,411
œ,412
’,413
˜,414
“,415
Œ,416
—,417
€,418
‘,419
€,420
–,421
„,422
Ž,423
‘,424
…,425
—,426
ƒ,427
‘,428
€,429
“,430
‡,431
†,432
€,433
Œ,434
‡,435
†,436
ž,437
™,438
‘,439
‚,440
‘,441
œ,442
˜,443
–,444
ƒ,445
ž,446
†,447
š,448
ˆ,449
ƒ,450
Š,451
‡,452
š,453
•,454
ƒ,455
†,456
†,457
…,458
“,459
Ž,460
’,461
Œ,462
’,463
…,464
—,465
‹,466
†,467
”,468
—,469
€,470
“,471
„,472
Š,473
Š,474
†,475
™,476
›,477
Ž,478
‹,479
˜,480
™,481
•,482
”,483
•,484
›,485
Š,486
Ÿ,487
—,488
‡,489
‚,490
Ÿ,491
†,492
œ,493
•,494
›,495
Ž,496
‡,497
‘,498
’,499
